n,mae,rmse,calibration_in_the_large,calibration_slope,residual_age_slope,residual_age_correlation,latent_mae,latent_rmse,outcome_beta_unadjusted,outcome_p_unadjusted,outcome_beta_age_adjusted,outcome_se_age_adjusted,outcome_p_age_adjusted,outcome_ci_low_age_adjusted,outcome_ci_high_age_adjusted,scenario,method,replication,seed,association_target,association_error_age_adjusted,association_detected_age_adjusted,latent_target_in_ci
500.0,0.014362951143774382,0.01813476077833051,-0.0016910031283044731,0.9999003055523029,-9.969444769708513e-05,-0.09512959500710172,0.014362951143774382,0.01813476077833051,-0.0006125555839555048,0.49013313554863486,-0.0006938986626345766,0.0008845201919709674,0.43312545644997463,-0.002431758483545124,0.0010439611582759706,unbiased_predictions,umlr_oracle,5,437633189,0.0,-0.0006938986626345766,False,True
500.0,0.021365936576904162,0.026331126108120547,0.0016367075900452902,0.9989150984538108,-0.001084901546189232,-0.6979543322335544,0.021365936576904162,0.026331126108120547,0.002064133445970992,0.11352385133685548,0.0020316785139000166,0.0009312691664129209,0.029605130069796315,0.00020196871026560226,0.003861388317534431,unbiased_predictions,raw_lasso,6,2881208579,0.0,0.0020316785139000166,True,False
500.0,0.014973741265387943,0.018858786042064746,0.0007249662149259279,1.0000567924789532,5.6792478953182624e-05,0.05095229142532303,0.014973741265387943,0.018858786042064746,0.002029974111315742,0.029791538696991398,0.0020316785139001528,0.0009312691664129288,0.02960513006978682,0.00020196871026572282,0.0038613883175345827,unbiased_predictions,residual_correction,6,2881208579,0.0,0.0020316785139001528,True,False
500.0,0.01499031721213663,0.018879382791811394,0.0007267051871231871,1.0000557163559747,5.571635597467761e-05,0.04993239289828427,0.01499031721213663,0.018879382791811394,0.0020323261885911376,0.029780301438355045,0.002033998399631749,0.0009323325423540613,0.02960513006981769,0.00020219932959120212,0.003865797469672296,unbiased_predictions,linear_recalibration,6,2881208579,0.0,0.002033998399631749,True,False
500.0,0.015021548184341234,0.01891473098771438,0.0006993098911229438,1.0000901396827537,9.013968275373152e-05,0.08062660535465264,0.015021548184341234,0.01891473098771438,0.002031461686384227,0.03016874039593007,0.002034163839243745,0.0009322520524518781,0.029577955727624266,0.00020252291162692468,0.0038658047668605655,unbiased_predictions,umlr_oracle,6,2881208579,0.0,0.002034163839243745,True,False
500.0,0.023474801887633887,0.02833155859215199,0.0007830010215473919,0.9987316667403205,-0.001268333259679455,-0.7714709552047556,0.023474801887633887,0.02833155859215199,-0.0003426031008835295,0.8013179540475948,-0.0011644442128338677,0.0008656769728159164,0.1791981355682135,-0.0028652818450330348,0.0005363934193652997,unbiased_predictions,raw_lasso,7,3027062025,0.0,-0.0011644442128338677,False,True
500.0,0.014447177007883581,0.018258345843267215,0.002227433634832238,0.9998882755939852,-0.0001117244060148126,-0.10620218051190758,0.014447177007883581,0.018258345843267215,-0.0010907480723630306,0.2102132561880237,-0.0011644442128340658,0.0008656769728159088,0.17919813556813585,-0.0028652818450332182,0.0005363934193650865,unbiased_predictions,residual_correction,7,3027062025,0.0,-0.0011644442128340658,False,True
500.0,0.014466596720154826,0.018281328875872353,0.002228620636057968,0.9998870335090168,-0.00011296649098324618,-0.10724669825387305,0.014466596720154826,0.018281328875872353,-0.0010912900545205157,0.21056599977837284,-0.001165791281513563,0.0008666784173881737,0.17919813556813835,-0.002868596500547709,0.0005370139375205831,unbiased_predictions,linear_recalibration,7,3027062025,0.0,-0.001165791281513563,False,True
500.0,0.014385641191005823,0.01819086436536803,0.002174994001323647,0.9999034249791361,-9.657502086390934e-05,-0.09211469584424117,0.014385641191005823,0.01819086436536803,-0.0010433087167147563,0.2291710809734038,-0.0011071352986590454,0.0008640977653108568,0.20069927446389826,-0.002804870185101999,0.000590599587783908,unbiased_predictions,umlr_oracle,7,3027062025,0.0,-0.0011071352986590454,False,True
500.0,0.022614512975336922,0.02799107948217027,-0.0005861785204165387,0.9988285671242849,-0.0011714328757150838,-0.7422454759114852,0.022614512975336922,0.02799107948217027,0.0019172933006454578,0.15863974213864557,0.0009051161036566119,0.0009128396030092704,0.3219049236054247,-0.0008883842408305105,0.0026986164481437344,unbiased_predictions,raw_lasso,8,2874605071,0.0,0.0009051161036566119,False,True
500.0,0.015235790068431279,0.018879918006531226,0.0021183106845272803,0.9999706694800989,-2.9330519901060725e-05,-0.027722037512563726,0.015235790068431279,0.018879918006531226,0.0009286731924717696,0.30866777851654026,0.0009051161036563762,0.0009128396030092704,0.32190492360555073,-0.0008883842408307462,0.0026986164481434985,unbiased_predictions,residual_correction,8,2874605071,0.0,0.0009051161036563762,False,True
500.0,0.015252763581071797,0.01890170591372266,0.002118490479065109,0.9999696898982366,-3.031010176335336e-05,-0.028614487541948,0.015252763581071797,0.01890170591372266,0.0009305530996586229,0.30825358163804195,0.0009061501635873754,0.0009138824867375052,0.32190492360541356,-0.0008893991852589829,0.0027016995124337336,unbiased_predictions,linear_recalibration,8,2874605071,0.0,0.0009061501635873754,False,True
500.0,0.015264519453267148,0.01890346331928993,0.0021665799388445846,0.9999895770060794,-1.0422993920622403e-05,-0.009841856380249432,0.015264519453267148,0.01890346331928993,0.0009129428618406494,0.31741221323376423,0.0009057536878905892,0.0009140327274164471,0.32219595038987187,-0.0008900908461214324,0.002701598221902611,unbiased_predictions,umlr_oracle,8,2874605071,0.0,0.0009057536878905892,False,True
500.0,0.022017262504605385,0.027276690278460025,0.0006522965240433791,0.9988253789468713,-0.0011746210531287105,-0.7407465551781149,0.022017262504605385,0.027276690278460025,0.0013282520462471878,0.3234596210415851,0.00042280765446438143,0.0009051611323776383,0.6406276014977007,-0.001355606425494375,0.002201221734423138,unbiased_predictions,raw_lasso,9,3678971728,0.0,0.00042280765446438143,False,True
500.0,0.01457261273236395,0.01837121357742004,0.0011812594764910073,0.9999577870891359,-4.22129108641478e-05,-0.039595552584131465,0.01457261273236395,0.01837121357742004,0.000454670192663839,0.6152890385753158,0.0004228076544642982,0.0009051611323776389,0.6406276014977668,-0.0013556064254944596,0.002201221734423056,unbiased_predictions,residual_correction,9,3678971728,0.0,0.0004228076544642982,False,True
500.0,0.014589640430273634,0.018392738326095594,0.0011820881867192128,0.999956649211442,-4.3350788557994235e-05,-0.04061521128792875,0.014589640430273634,0.018392738326095594,0.0004560260709836345,0.6146506401835474,0.00042328652668490797,0.0009061863184564936,0.6406276014976958,-0.0013571417862010015,0.0022037148395708172,unbiased_predictions,linear_recalibration,9,3678971728,0.0,0.00042328652668490797,False,True
500.0,0.014594458752701996,0.018398783848878865,0.0011784246664766015,0.9999497189274155,-5.028107258453485e-05,-0.04709202450661796,0.014594458752701996,0.018398783848878865,0.0004607330147866275,0.6111241313286214,0.0004226461276639173,0.0009062397238175657,0.6411525731310723,-0.0013578871133311191,0.0022031793686589536,unbiased_predictions,umlr_oracle,9,3678971728,0.0,0.0004226461276639173,False,True
500.0,0.02240382944626265,0.027692113080849304,0.0033277528202773536,0.9987983546127054,-0.0012016453872946142,-0.7301363679843634,0.02240382944626265,0.027692113080849304,0.0019174170099721577,0.1512789260410149,0.0017362664947113255,0.0009111088528382935,0.05727063358049476,-5.3833360776814766e-05,0.0035263663501994657,unbiased_predictions,raw_lasso,10,2169915022,0.0,0.0017362664947113255,False,True
500.0,0.015071025740608647,0.01889532183447212,0.002029972895506958,0.9999882648586449,-1.1735141355107004e-05,-0.010434700530264743,0.015071025740608647,0.01889532183447212,0.001737916522663161,0.05678908697624481,0.001736266494711266,0.0009111088528382992,0.057270633580504805,-5.3833360776885456e-05,0.0035263663501994176,unbiased_predictions,residual_correction,10,2169915022,0.0,0.001736266494711266,False,True
500.0,0.015089325991171429,0.018918130220578658,0.0020335516522323404,0.9999871849612182,-1.281503878181045e-05,-0.011381263761710624,0.015089325991171429,0.018918130220578658,0.001740145893996343,0.0567686868145938,0.0017383331043450837,0.0009121933098260775,0.05727063358052091,-5.389743650635625e-05,0.0035305636451965234,unbiased_predictions,linear_recalibration,10,2169915022,0.0,0.0017383331043450837,False,True
500.0,0.015114821761398516,0.018952302241568676,0.0020892967277037116,0.9999347689295982,-6.523107040179443e-05,-0.05784592447395351,0.015114821761398516,0.018952302241568676,0.0017461551068536486,0.05628649503391854,0.0017364351160870577,0.0009121003158695464,0.057516604591266625,-5.5612715017211043e-05,0.0035284829471913266,unbiased_predictions,umlr_oracle,10,2169915022,0.0,0.0017364351160870577,False,True
500.0,0.02166779160341266,0.02715051683155088,-0.0021736745266623886,0.9989140514050378,-0.0010859485949622494,-0.7012256555889457,0.02166779160341266,0.02715051683155088,8.998368346174168e-05,0.9466614473230746,0.0006980803977027837,0.0009593138500664808,0.46714775995943364,-0.0011867301592599032,0.002582890954665471,unbiased_predictions,raw_lasso,11,1242217722,0.0,0.0006980803977027837,False,True
500.0,0.01528975567316924,0.019321703315573,2.088829473872522e-05,1.0000585956835606,5.859568356059164e-05,0.05299693911972511,0.01528975567316924,0.019321703315573,0.0007302785635347435,0.446838008849336,0.0006980803977027461,0.0009593138500664755,0.46714775995945507,-0.0011867301592599303,0.0025828909546654227,unbiased_predictions,residual_correction,11,1242217722,0.0,0.0006980803977027461,False,True
500.0,0.015305971570748141,0.019342810005788694,1.880199665748705e-05,1.0000575622099601,5.756220996011585e-05,0.05200539701987795,0.015305971570748141,0.019342810005788694,0.0007304988690445309,0.4471973054953012,0.0006988795279947993,0.0009604120283845355,0.46714775995935254,-0.001188088673295814,0.0025858477292854125,unbiased_predictions,linear_recalibration,11,1242217722,0.0,0.0006988795279947993,False,True
500.0,0.015253386958339952,0.019313702276215743,-0.00011107899732805748,0.9999891894262894,-1.0810573710551274e-05,-0.00978184350534582,0.015253386958339952,0.019313702276215743,0.0006921674913223351,0.4707325859755307,0.0006987980164793312,0.0009602047245905806,0.46710358466226454,-0.001187762884969507,0.0025853589179281695,unbiased_predictions,umlr_oracle,11,1242217722,0.0,0.0006987980164793312,False,True
500.0,0.022500235744800683,0.02746953167463442,-0.002320453370463305,0.9988705996300019,-0.0011294003699980903,-0.7155380203621322,0.022500235744800683,0.02746953167463442,0.0004214240401610805,0.767353491045945,0.0008822088196438496,0.0009950857950051333,0.37574161330020234,-0.0010728846165442211,0.00283730225583192,unbiased_predictions,raw_lasso,12,2321595447,0.0,0.0008822088196438496,False,True
500.0,0.01545864484171654,0.019178873703700288,-0.0014379541194678254,0.9999774853662058,-2.2514633794212813e-05,-0.02041488182747985,0.01545864484171654,0.019178873703700288,0.0008726684801443386,0.38045272511487055,0.0008822088196439113,0.000995085795005135,0.37574161330016975,-0.0010728846165441624,0.002837302255831985,unbiased_predictions,residual_correction,12,2321595447,0.0,0.0008822088196439113,False,True
500.0,0.015475912752553733,0.01920051680074106,-0.0014403225749665509,0.9999764865763546,-2.3513423645371567e-05,-0.021296552471414435,0.015475912752553733,0.01920051680074106,0.0008732376289651516,0.38067817516292035,0.0008831855459763272,0.0009961874916529266,0.37574161330031053,-0.001074072447173146,0.0028404435391258,unbiased_predictions,linear_recalibration,12,2321595447,0.0,0.0008831855459763272,False,True
500.0,0.015476586645383953,0.019198311782344463,-0.0014291603733307384,0.9999905019005098,-9.498099490246048e-06,-0.00860322605103176,0.015476586645383953,0.019198311782344463,0.0008790016736217667,0.3775054522417739,0.0008832359799149309,0.00099630515511607,0.3757707138468449,-0.001074253192360629,0.002840725152190491,unbiased_predictions,umlr_oracle,12,2321595447,0.0,0.0008832359799149309,False,True
500.0,0.021224158204559286,0.026298143305597103,-0.0033110538635535533,0.9989566712318635,-0.0010433287681365089,-0.7072120092649821,0.021224158204559286,0.026298143305597103,-0.00013903045779093323,0.9145064664679246,-0.00033913402529005146,0.000915978823890854,0.7113597567068122,-0.0021388021496521713,0.0014605340990720686,unbiased_predictions,raw_lasso,13,766335664,0.0,-0.00033913402529005146,False,True
500.0,0.01496331515443552,0.01856143759926586,-0.0015949251797175493,1.0000752287099253,7.522870992526798e-05,0.0719390990743689,0.01496331515443552,0.01856143759926586,-0.00035352752013187433,0.7001309067230665,-0.0003391340252901238,0.0009159788238908456,0.7113597567067508,-0.0021388021496522277,0.0014605340990719799,unbiased_predictions,residual_correction,13,766335664,0.0,-0.0003391340252901238,False,True
500.0,0.014978972721810742,0.01858101254298335,-0.0015983308639809408,1.0000742560851488,7.425608514877169e-05,0.070934767896373,0.014978972721810742,0.01858101254298335,-0.00035372037795156997,0.700273745861962,-0.00033951343218608895,0.0009170035771048858,0.7113597567068077,-0.0021411949390048,0.001462168074632622,unbiased_predictions,linear_recalibration,13,766335664,0.0,-0.00033951343218608895,False,True
500.0,0.014950708447641809,0.018555497543692796,-0.001636457215310223,1.0000484037517445,4.8403751744530155e-05,0.04631116785195914,0.014950708447641809,0.018555497543692796,-0.00034727813673856407,0.7050362615231287,-0.0003380285493245447,0.0009168981561905584,0.7125341914062031,-0.002139502930547982,0.001463445831898893,unbiased_predictions,umlr_oracle,13,766335664,0.0,-0.0003380285493245447,False,True
500.0,0.0220438206434829,0.02697086526941332,0.000820012252452912,0.9988487017077747,-0.0011512982922252668,-0.7292683151921535,0.0220438206434829,0.02697086526941332,-0.0013746737903443252,0.3085585235520513,-0.00033848427209109695,0.0009255841745852965,0.7147460412896703,-0.0021570244959136383,0.0014800559517314442,unbiased_predictions,raw_lasso,14,2385192156,0.0,-0.00033848427209109695,False,True
500.0,0.014769903822214324,0.01845330830908233,-0.0001084563872371902,1.0000304018963437,3.040189634373469e-05,0.028133740789010264,0.014769903822214324,0.01845330830908233,-0.0003103481568153766,0.7371094568065041,-0.00033848427209111364,0.0009255841745852913,0.7147460412896555,-0.0021570244959136444,0.0014800559517314173,unbiased_predictions,residual_correction,14,2385192156,0.0,-0.00033848427209111364,False,True
500.0,0.014786766365985705,0.018474549629650897,-0.00010764508142998608,1.0000292421001633,2.9242100163306972e-05,0.027029350948079314,0.014786766365985705,0.018474549629650897,-0.00031179191794842296,0.7362243030598901,-0.0003388843270290675,0.0009266781235515366,0.7147460412896638,-0.0021595738855664207,0.0014818052315082855,unbiased_predictions,linear_recalibration,14,2385192156,0.0,-0.0003388843270290675,False,True
500.0,0.014798914107997035,0.018475566558822945,-5.882085181254126e-05,0.9999665805036702,-3.341949632984509e-05,-0.030888575539811797,0.014798914107997035,0.018475566558822945,-0.00036969888166276483,0.6895968301026448,-0.0003403569532655611,0.0009266354169454915,0.7135485725438672,-0.0021609626040578938,0.0014802486975267713,unbiased_predictions,umlr_oracle,14,2385192156,0.0,-0.0003403569532655611,False,True
500.0,0.02470445017774406,0.029890589557875765,-0.0030256077577342994,0.9986609539665073,-0.0013390460334926635,-0.7869102872174423,0.02470445017774406,0.029890589557875765,-0.0006053457076520815,0.691843511394835,-0.0010050568374712849,0.0009420120363482748,0.28652338371440234,-0.002855873679917688,0.0008457600049751187,unbiased_predictions,raw_lasso,15,3666365820,0.0,-0.0010050568374712849,False,True
500.0,0.015013322765542007,0.01868375964320993,-0.001678423511895339,0.9998231482419104,-0.000176851758089569,-0.16608576863131255,0.015013322765542007,0.01868375964320993,-0.0009520721099391508,0.31895301635489814,-0.0010050568374710789,0.0009420120363482618,0.2865233837144943,-0.002855873679917457,0.0008457600049752993,unbiased_predictions,residual_correction,15,3666365820,0.0,-0.0010050568374710789,False,True
500.0,0.015032978053767194,0.01870852434043834,-0.0016815498678406158,0.9998219288755327,-0.0001780711244673272,-0.16701026873400648,0.015032978053767194,0.01870852434043834,-0.0009528764778186897,0.31918346351077254,-0.0010062252477966032,0.0009431071551008854,0.28652338371455993,-0.0028591937232939684,0.000846743227700762,unbiased_predictions,linear_recalibration,15,3666365820,0.0,-0.0010062252477966032,False,True
500.0,0.015141872608411568,0.01885495335657186,-0.001734980295164867,0.9997777332550423,-0.00022226674495773313,-0.2068822813633984,0.015141872608411568,0.01885495335657186,-0.000938433054048967,0.3302610357291976,-0.0010049667656839131,0.0009429901210647055,0.28706608287006774,-0.0028577052987209454,0.0008477717673531192,unbiased_predictions,umlr_oracle,15,3666365820,0.0,-0.0010049667656839131,False,True
500.0,0.021172928143519995,0.025973496025413084,-0.0007175631039505959,0.9989091559443494,-0.0010908440556506305,-0.7212827359805963,0.021172928143519995,0.025973496025413084,9.270308883968689e-05,0.9422920523732323,-0.00017929067539140366,0.0008874974710267957,0.8399851292632318,-0.0019230001011993057,0.0015644187504164982,unbiased_predictions,raw_lasso,16,2369638403,0.0,-0.00017929067539140366,False,True
