scenario,method,replications,mae_mean,mae_sd,rmse_mean,latent_rmse_mean,calibration_in_the_large_mean,calibration_slope_mean,residual_age_slope_mean,residual_age_correlation_mean,outcome_beta_age_adjusted_mean,association_target_mean,association_error_age_adjusted_mean,association_error_age_adjusted_abs_mean,detection_rate_age_adjusted,latent_target_interval_inclusion_rate,raw_rmse_mean,rmse_ratio_vs_raw
null_outcome,residual_correction,30,5.220487048522988,0.22042251005223676,6.548744641429648,5.139176015699134,-0.05042167086802143,1.0045701908657119,0.0045701908657118685,0.012107322697373314,-0.011059553830920058,0.0,-0.011059553830920058,0.20646395947845578,0.06666666666666667,0.9333333333333333,7.120954772682722,0.91964418402878
null_outcome,linear_recalibration,30,5.6933316206262585,0.23833014948500825,7.121445309319008,5.860150802693645,-0.07548802799719152,0.8391670240141224,-0.16083297598587765,-0.3910150820877281,-0.011077107182024322,0.0,-0.011077107182024322,0.20678103163394385,0.06666666666666667,0.9333333333333333,7.120954772682722,1.0000688863575105
null_outcome,umlr_oracle,30,6.253116876313223,0.2561515056059491,7.84355549044638,6.070987765760956,-0.06541597544444966,1.0046704193962674,0.004670419396267463,0.01004985015046023,-0.010378519077492758,0.0,-0.010378519077492758,0.24448502992032378,0.06666666666666667,0.9333333333333333,7.120954772682722,1.1014752572977553
latent_signal,raw_lasso,30,5.814658207808939,0.1923676819540328,7.240120920847204,5.939820972279466,0.005072597103177857,0.8329170054205461,-0.16708299457945383,-0.4024977854197258,3.266062909535565,3.891331549482778,-0.6252686399472134,0.6252686399472133,1.0,0.26666666666666666,7.240120920847204,1.0
latent_signal,residual_correction,30,5.289255576283243,0.2199554178947541,6.6301265605172786,5.17887340034657,-0.004042739075258961,0.999136782086413,-0.0008632179135869851,-0.002969099023329832,3.2660629095355644,3.891331549482778,-0.6252686399472135,0.6252686399472135,1.0,0.26666666666666666,7.240120920847204,0.91574804247074
latent_signal,linear_recalibration,30,5.814485114635142,0.1924183143944433,7.240497282781206,5.934827000450581,0.005002875334776244,0.834183877846941,-0.165816122153059,-0.3994297725432934,3.271031761247947,3.891331549482778,-0.6202997882348308,0.6202997882348308,1.0,0.26666666666666666,7.240120920847204,1.0000519828243364
latent_signal,umlr_oracle,30,6.342151034061299,0.2888458477302363,7.946397526399509,6.135454465238749,-0.004699744603899947,0.9962494844926207,-0.0037505155073793077,-0.010004565043586546,3.907324472690413,3.891331549482778,0.015992923207635058,0.19159442983630606,1.0,1.0,7.240120920847204,1.0975503880768969
age_confounding,raw_lasso,30,5.777615780132076,0.2082513007358434,7.215339200302848,5.96895416484009,0.0425857377806179,0.8318376684877063,-0.16816233151229365,-0.40462347948174765,3.6839743314964557,4.453142554695221,-0.7691682231987659,0.7691682231987659,1.0,0.5666666666666667,7.215339200302848,1.0
age_confounding,residual_correction,30,5.285894989204907,0.25367729196589345,6.60505506173681,5.214632673369186,0.0007111154617430264,0.9983448747903795,-0.0016551252096205819,-0.005890257753701654,3.6839743314964557,4.453142554695221,-0.7691682231987657,0.7691682231987657,1.0,0.5666666666666667,7.215339200302848,0.9154185102565346
age_confounding,linear_recalibration,30,5.777385858088241,0.20867002770260676,7.2156396230635895,5.964016026497079,0.04223493841202693,0.8331113872037835,-0.16688861279621647,-0.40155035581375775,3.689619737560399,4.453142554695221,-0.7635228171348222,0.7635228171348223,1.0,0.5666666666666667,7.215339200302848,1.0000416366788034
age_confounding,umlr_oracle,30,6.352188753643715,0.35348695278030257,7.936557769106135,6.193754007741125,0.0036871071041696206,0.997951404443222,-0.002048595556778047,-0.007645161635952554,4.418228372026833,4.453142554695221,-0.03491418266838748,0.32516646371360725,1.0,1.0,7.215339200302848,1.099956294330974
small_calibration_sample,raw_lasso,30,6.368132066740362,0.42316920222409865,7.965679588522006,6.722544670671149,-0.33434233195600976,0.8349422734071762,-0.16505772659282378,-0.36707247005220045,1.8660369049159458,2.182117809431772,-0.31608090451582643,0.33094835206262896,1.0,0.9,7.965679588522006,1.0
small_calibration_sample,residual_correction,30,5.920314772219895,0.46194854602320945,7.417742375789841,6.089343609072018,-0.2489654572572874,0.9841601432909618,-0.015839856709038237,-0.04425393601767355,1.8660369049159458,2.182117809431772,-0.31608090451582627,0.3309483520626288,1.0,0.9,7.965679588522006,0.9312127475574457
small_calibration_sample,linear_recalibration,30,6.369633584382695,0.4237873351001408,7.968040712697903,6.720497364505809,-0.33391775497715703,0.8362622330863024,-0.16373776691369754,-0.36409148363133015,1.8689701477984841,2.182117809431772,-0.31314766163328817,0.3284309442868195,1.0,0.9,7.965679588522006,1.0002964121453364
small_calibration_sample,umlr_oracle,30,6.884624096792472,0.7209067791030604,8.625678801225604,7.064951499962329,-0.35435637214837773,0.9603377756016187,-0.03966222439838136,-0.09051452297330492,2.1511955425704414,2.182117809431772,-0.030922266861330785,0.1894879673544389,1.0,0.9666666666666667,7.965679588522006,1.0828553553239337
nonlinear_bias,raw_lasso,30,5.756343323408582,0.20445225480714121,7.234192450712949,5.606953236398102,-0.14312689652841,0.8332741958561901,-0.16672580414380983,-0.3988149660806768,1.987079278957469,2.174511566093853,-0.1874322871363837,0.21968261369992864,1.0,0.9666666666666667,7.234192450712949,1.0
nonlinear_bias,residual_correction,30,5.132360221553117,0.19894643678651788,6.631553532202886,4.8037833006603075,-0.16594240811095348,0.9970475167828065,-0.0029524832171935467,-0.008454632459200945,1.98707927895747,2.174511566093853,-0.18743228713638266,0.21968261369992934,1.0,0.9666666666666667,7.234192450712949,0.9166957580108791
nonlinear_bias,linear_recalibration,30,5.755721658201453,0.20417893200936693,7.234774620919011,5.600854023916434,-0.14359056067623183,0.8346710828246012,-0.16532891717539877,-0.39544494687311893,1.990409660319483,2.174511566093853,-0.1841019057743697,0.21781110528524356,1.0,0.9666666666666667,7.234192450712949,1.0000804748021328
nonlinear_bias,umlr_oracle,30,6.123459530326565,0.2211764425864584,7.810719555176578,5.822738805916188,-0.19650267549012995,0.9769121480938947,-0.023087851906105364,-0.05216489429828028,2.2658210924122812,2.174511566093853,0.09130952631842847,0.22873128740991266,1.0,1.0,7.234192450712949,1.079694742487368
